Date,T,Td,Precip,Humidity,Wind,PercentCloud,City
20110326,78.5,66.5,0,72.70833333333333,8.941666666666668,77.33333333333333,KHOU
20110327,74.5,65.5,0,74.625,7.258333333333333,82.25,KHOU
20110328,63.0,56.5,0,69.08333333333333,8.320833333333335,85.5,KHOU
20110329,68.5,64.0,0,76.45833333333333,7.116666666666667,91.91666666666667,KHOU
20110330,62.0,55.0,0,64.375,11.525000000000006,73.04166666666667,KHOU
20110331,64.0,51.0,0,54.36842105263158,5.584210526315789,31.57894736842105,KHOU
20110401,71.5,59.0,0,72.25,8.637500000000001,13.416666666666666,KHOU
20110402,75.0,68.0,0,76.875,5.091666666666668,71.5,KHOU
20110403,74.0,67.5,0,80.33333333333333,9.704166666666667,86.54166666666667,KHOU
20110404,68.0,49.5,0,58.083333333333336,15.679166666666665,56.875,KHOU
20110405,57.0,32.0,0,32.291666666666664,4.954166666666667,3.625,KHOU
20110406,63.0,50.5,0,64.375,8.895833333333332,20.166666666666668,KHOU
20110407,74.5,64.5,0,79.45833333333333,9.512499999999998,75.70833333333333,KHOU
20110408,81.5,70.0,0,79.58333333333333,10.424999999999999,74.29166666666667,KHOU
20110409,79.0,69.0,0,82.08333333333333,12.149999999999999,47.166666666666664,KHOU
20110410,79.5,69.5,0,77.91666666666667,14.495833333333337,79.29166666666667,KHOU
20110411,76.0,47.0,0,51.916666666666664,11.904166666666663,41.208333333333336,KHOU
20110412,69.0,41.5,0,40.958333333333336,6.833333333333332,19.416666666666668,KHOU
20110413,66.5,57.0,0,68.45833333333333,5.858333333333334,40.25,KHOU
20110414,77.0,67.5,0,79.125,9.945833333333333,73.16666666666667,KHOU
20110415,75.0,41.5,0,44.833333333333336,12.3375,44.625,KHOU
20110416,65.5,28.0,0,21.833333333333332,6.7875000000000005,27.958333333333332,KHOU
20110417,65.0,56.0,0,61.416666666666664,8.9875,31.666666666666668,KHOU
20110418,80.5,68.5,0,76.25,12.433333333333332,73.33333333333333,KHOU
20110419,82.5,70.0,0,75.75,12.479166666666666,66.375,KHOU
20110420,83.0,70.5,0,75.83333333333333,10.329166666666666,66.5,KHOU
20110421,81.5,69.0,0,76.70833333333333,10.245833333333332,64.58333333333333,KHOU
20110422,82.0,66.5,0,72.20833333333333,12.912500000000001,68.75,KHOU
20110423,81.0,67.5,0,72.625,13.816666666666665,62.208333333333336,KHOU
20110424,80.5,69.5,0,76.04166666666667,13.441666666666668,65.0,KHOU
20110425,82.0,69.0,0,72.04347826086956,14.882608695652175,68.56521739130434,KHOU
20110426,80.5,71.5,0,77.29166666666667,13.779166666666667,87.45833333333333,KHOU
20110427,79.5,49.0,0,43.0,15.012499999999998,25.416666666666668,KHOU
20110428,70.0,42.0,0,39.916666666666664,8.79166666666667,7.083333333333333,KHOU
20110429,67.5,56.5,0,61.25,8.979166666666666,6.166666666666667,KHOU
20110430,80.0,68.5,0,77.91666666666667,12.375,85.66666666666667,KHOU
20110501,80.0,71.0,0,74.66666666666667,13.149999999999999,78.375,KHOU
20110502,71.0,61.5,0,64.25,12.391666666666666,76.75,KHOU
20110503,66.0,43.0,0,50.416666666666664,16.654166666666665,47.083333333333336,KHOU
20110504,64.0,42.0,0,45.666666666666664,6.833333333333333,47.083333333333336,KHOU
20110505,68.0,42.5,0,55.625,5.0,22.416666666666668,KHOU
20110506,71.0,51.0,0,58.208333333333336,4.995833333333333,17.75,KHOU
20110507,77.5,63.0,0,69.5,9.075000000000001,43.5,KHOU
20110508,83.0,69.5,0,76.25,8.791666666666666,49.5,KHOU
20110509,85.0,68.0,0,70.125,12.191666666666665,59.333333333333336,KHOU
20110510,83.5,70.0,0,72.16666666666667,10.758333333333333,67.20833333333333,KHOU
20110511,80.5,70.0,0,77.45833333333333,11.1875,84.04166666666667,KHOU
20110512,74.5,68.0,0.18,80.66666666666667,9.3125,86.70833333333333,KHOU
20110513,77.0,56.5,0.01,60.041666666666664,8.354166666666666,6.333333333333333,KHOU
20110514,71.0,46.5,0,41.416666666666664,13.15,4.166666666666667,KHOU
20110515,70.0,42.5,0,39.166666666666664,9.649999999999997,21.708333333333332,KHOU
20110516,75.5,46.0,0,36.5,10.229166666666666,26.458333333333332,KHOU
20110517,70.0,53.5,0,59.875,6.875000000000001,30.75,KHOU
20110518,71.5,63.0,0,72.25,9.995833333333332,78.25,KHOU
20110519,81.0,70.5,0,76.45833333333333,11.379166666666668,80.91666666666667,KHOU
20110520,86.0,72.5,0,75.78260869565217,13.47391304347826,81.26086956521739,KHOU
20110521,81.5,72.5,0,76.5,10.041666666666666,83.29166666666667,KHOU
20110522,84.0,71.0,0,74.875,12.345833333333331,56.208333333333336,KHOU
20110523,84.0,71.5,0,72.83333333333333,13.016666666666666,61.0,KHOU
20110524,86.0,71.5,0,71.625,12.733333333333334,56.125,KHOU
20110525,87.0,71.5,0,69.70833333333333,11.237499999999999,50.958333333333336,KHOU
20110526,85.0,60.0,0,55.041666666666664,5.1499999999999995,20.833333333333332,KHOU
20110527,83.5,69.5,0,71.33333333333333,9.124999999999998,42.791666666666664,KHOU
20110528,86.0,71.5,0,71.29166666666667,11.383333333333335,34.083333333333336,KHOU
20110529,85.5,69.5,0,69.0,12.483333333333334,51.166666666666664,KHOU
20110530,87.0,71.0,0,67.91304347826087,14.173913043478258,41.608695652173914,KHOU
20110531,85.5,70.5,0,69.04347826086956,8.178260869565218,30.565217391304348,KHOU
20110601,84.0,66.0,0,59.041666666666664,5.141666666666667,26.333333333333332,KHOU
20110602,86.0,64.5,0,53.75,3.4708333333333328,7.625,KHOU
20110603,84.5,69.5,0,63.0,6.829166666666667,15.625,KHOU
20110604,84.5,62.5,0,58.583333333333336,5.383333333333334,12.708333333333334,KHOU
20110605,90.0,64.5,0,51.958333333333336,4.341666666666665,40.958333333333336,KHOU
20110606,88.5,63.0,0,49.25,4.329166666666665,52.791666666666664,KHOU
20110607,82.5,68.0,0,63.75,4.420833333333333,50.875,KHOU
20110608,84.0,68.5,0,65.78260869565217,7.130434782608695,25.91304347826087,KHOU
20110609,83.5,70.0,0,64.91666666666667,7.450000000000002,24.0,KHOU
20110610,83.0,69.5,0,66.16666666666667,7.066666666666667,29.041666666666668,KHOU
20110611,83.5,68.5,0,65.16666666666667,5.779166666666668,20.0,KHOU
20110612,84.0,65.5,0,64.29166666666667,5.779166666666668,9.041666666666666,KHOU
20110613,85.5,67.5,0,63.291666666666664,6.441666666666666,14.166666666666666,KHOU
20110614,88.0,68.0,0,63.291666666666664,8.8375,16.375,KHOU
20110615,88.0,71.5,0,65.45833333333333,9.654166666666669,26.666666666666668,KHOU
20110616,88.0,72.0,0,66.66666666666667,11.095833333333333,22.916666666666668,KHOU
20110617,91.0,73.0,0,66.0,12.0875,35.083333333333336,KHOU
20110618,91.0,73.0,0,65.5,12.537499999999996,33.541666666666664,KHOU
20110619,90.5,72.0,0,66.08333333333333,12.770833333333334,38.583333333333336,KHOU
20110620,89.0,72.0,0,66.25,12.35,33.541666666666664,KHOU
20110621,90.0,74.0,0,68.83333333333333,11.429166666666667,44.5,KHOU
20110622,76.5,71.5,0.8500000000000001,82.20833333333333,6.387499999999998,84.33333333333333,KHOU
20110623,83.0,70.5,0.63,72.41666666666667,6.587499999999999,59.541666666666664,KHOU
20110624,83.0,58.0,0.05,74.33333333333333,7.979166666666667,36.75,KHOU
20110625,85.5,72.0,0,70.29166666666667,8.266666666666667,37.833333333333336,KHOU
20110626,88.0,73.5,0,71.04166666666667,8.933333333333332,26.166666666666668,KHOU
20110627,88.0,73.5,0,69.91666666666667,7.833333333333335,21.791666666666668,KHOU
20110628,87.5,70.5,0,66.125,5.337500000000001,20.166666666666668,KHOU
20110629,87.0,68.5,0,61.208333333333336,4.470833333333333,25.666666666666668,KHOU
20110630,87.0,69.0,0,61.458333333333336,4.474999999999999,17.625,KHOU
20110701,87.5,71.0,0.43,67.5,4.520833333333333,21.0,KHOU
20110702,88.0,69.5,0,64.66666666666667,4.179166666666667,23.041666666666668,KHOU
20110703,87.0,69.0,0,64.29166666666667,6.875,27.416666666666668,KHOU
20110704,87.5,68.5,0,63.166666666666664,6.404166666666668,27.291666666666668,KHOU
20110705,87.0,67.5,0,62.0,4.283333333333334,38.916666666666664,KHOU
20110706,86.0,70.5,0.41,72.04166666666667,4.141666666666667,54.208333333333336,KHOU
20110707,85.0,70.5,0,67.70833333333333,6.25,29.083333333333332,KHOU
20110708,87.0,71.0,0,65.75,6.920833333333332,30.125,KHOU
20110709,88.5,70.0,0.01,65.45833333333333,7.491666666666666,45.083333333333336,KHOU
20110710,86.5,72.5,0,66.125,6.291666666666668,41.291666666666664,KHOU
20110711,87.0,73.0,0,68.5,5.866666666666668,30.041666666666668,KHOU
20110712,87.5,71.0,0,67.0,7.1208333333333345,38.041666666666664,KHOU
20110713,88.5,72.5,0,66.625,8.120833333333332,38.958333333333336,KHOU
20110714,90.5,73.0,0.15,69.66666666666667,8.312500000000002,55.0,KHOU
20110715,89.0,73.5,0,72.54166666666667,6.587499999999999,72.29166666666667,KHOU
20110716,87.5,73.0,0.07,76.875,3.754166666666667,65.45833333333333,KHOU
20110717,86.5,69.5,0,65.0,5.2375,36.666666666666664,KHOU
20110718,86.5,73.0,0,68.375,5.095833333333332,52.875,KHOU
20110719,80.5,74.5,0.36,78.04166666666667,3.5624999999999987,70.08333333333333,KHOU
20110720,85.0,73.0,0.07,73.95833333333333,5.291666666666667,39.708333333333336,KHOU
20110721,87.0,71.5,0.08,69.625,6.008333333333333,29.125,KHOU
20110722,87.0,75.0,0,72.875,7.975000000000001,32.166666666666664,KHOU
20110723,88.0,74.0,0,70.58333333333333,8.116666666666667,42.416666666666664,KHOU
20110724,88.5,72.5,0,71.41666666666667,6.054166666666667,52.25,KHOU
20110725,90.0,71.0,0,68.25,6.970833333333332,46.166666666666664,KHOU
20110726,90.5,70.0,0,64.20833333333333,7.445833333333334,62.333333333333336,KHOU
20110727,88.5,72.5,0,66.25,8.270833333333334,56.416666666666664,KHOU
20110728,87.0,74.0,0.06,73.04166666666667,6.112500000000001,45.541666666666664,KHOU
20110729,84.0,75.5,0.3,79.21739130434783,5.969565217391305,52.17391304347826,KHOU
20110730,86.0,70.5,0.34,70.66666666666667,5.683333333333333,33.083333333333336,KHOU
20110731,85.5,73.0,0,68.54166666666667,3.6041666666666665,19.458333333333332,KHOU
20110801,89.5,72.5,0,65.625,5.483333333333333,24.333333333333332,KHOU
20110802,90.5,73.5,0,63.75,7.0249999999999995,18.875,KHOU
20110803,91.0,72.5,0,65.16666666666667,5.629166666666666,17.833333333333332,KHOU
20110804,90.5,72.5,0,67.20833333333333,6.691666666666667,19.666666666666668,KHOU
20110805,90.0,73.5,0,68.29166666666667,6.491666666666668,28.791666666666668,KHOU
20110806,91.0,73.5,0,65.66666666666667,6.254166666666666,33.208333333333336,KHOU
20110807,91.0,73.0,0,66.54166666666667,7.779166666666666,35.583333333333336,KHOU
20110808,91.0,72.5,0,66.20833333333333,8.558333333333334,21.833333333333332,KHOU
20110809,91.5,74.5,0,66.3913043478261,9.117391304347825,23.869565217391305,KHOU
20110810,91.5,73.5,0,68.0,8.841666666666667,19.666666666666668,KHOU
20110811,90.5,72.5,0,67.83333333333333,8.2625,29.208333333333332,KHOU
20110812,91.0,75.0,0,68.70833333333333,6.720833333333334,40.125,KHOU
20110813,89.0,72.0,0,70.875,6.4875,58.75,KHOU
20110814,90.0,69.0,0,68.25,4.762499999999999,50.875,KHOU
20110815,89.5,72.5,0,66.625,5.591666666666666,27.375,KHOU
20110816,89.5,70.5,0,65.29166666666667,6.345833333333332,27.5,KHOU
20110817,90.5,67.5,0,63.208333333333336,6.008333333333334,9.791666666666666,KHOU
20110818,92.5,70.5,0,58.791666666666664,6.116666666666667,23.958333333333332,KHOU
20110819,91.5,71.5,0,60.083333333333336,6.008333333333334,35.875,KHOU
20110820,91.5,74.5,0,67.25,4.766666666666667,33.083333333333336,KHOU
20110821,89.0,72.0,0,65.29166666666667,4.620833333333333,43.166666666666664,KHOU
20110822,89.0,72.0,0,65.79166666666667,4.716666666666668,26.583333333333332,KHOU
20110823,90.5,71.0,0,63.958333333333336,5.491666666666667,32.166666666666664,KHOU
20110824,90.0,73.0,0,65.375,4.720833333333334,44.875,KHOU
20110825,85.5,71.5,0.04,74.79166666666667,4.154166666666666,65.79166666666667,KHOU
20110826,90.0,70.5,0,61.666666666666664,4.8125,17.625,KHOU
20110827,95.0,69.5,0,22.52173913043478,6.245833333333333,20.625,KHOU
20110828,91.0,68.0,0,56.75,4.391666666666667,8.5,KHOU
20110829,91.0,69.0,0,59.875,4.233333333333333,20.625,KHOU
20110830,89.0,72.5,0,63.291666666666664,4.3791666666666655,19.625,KHOU
20110831,88.0,68.5,0,61.0,4.420833333333333,14.166666666666666,KHOU
20110901,89.5,72.0,0,63.25,7.879166666666667,26.041666666666668,KHOU
20110902,90.0,72.5,0,62.375,12.916666666666666,32.416666666666664,KHOU
20110903,85.5,68.0,0.03,60.083333333333336,18.616666666666664,49.416666666666664,KHOU
20110904,82.0,67.0,0.04,61.25,18.2875,77.16666666666667,KHOU
20110905,81.5,52.0,0,38.541666666666664,14.295833333333334,11.5,KHOU
20110906,76.5,49.5,0,37.041666666666664,5.0,23.541666666666668,KHOU
20110907,76.5,45.5,0,42.791666666666664,4.425,20.916666666666668,KHOU
20110908,78.0,49.0,0,44.75,4.5249999999999995,17.458333333333332,KHOU
20110909,80.0,56.0,0,55.875,4.8583333333333325,16.375,KHOU
20110910,82.5,53.0,0,59.208333333333336,4.854166666666666,7.416666666666667,KHOU
20110911,83.5,61.0,0,60.333333333333336,5.1,13.458333333333334,KHOU
20110912,86.0,63.0,0,60.0,6.104166666666667,4.708333333333333,KHOU
20110913,90.0,67.5,0,51.82608695652174,6.825,15.125,KHOU
20110914,89.0,64.5,0,61.541666666666664,7.887499999999999,10.333333333333334,KHOU
20110915,87.0,66.0,0,60.083333333333336,6.4958333333333345,37.208333333333336,KHOU
20110916,81.0,68.5,0,69.83333333333333,9.800000000000002,53.833333333333336,KHOU
20110917,82.0,70.5,0.02,74.25,4.970833333333332,57.416666666666664,KHOU
20110918,80.5,72.0,0.8800000000000001,82.04166666666667,4.9125,69.625,KHOU
20110919,77.0,69.5,0.03,78.875,3.9458333333333324,56.833333333333336,KHOU
20110920,79.5,65.5,0,73.41666666666667,3.224999999999999,36.291666666666664,KHOU
20110921,80.0,67.0,0,67.54166666666667,2.983333333333333,20.208333333333332,KHOU
20110922,82.5,65.0,0,63.75,3.4249999999999994,18.0,KHOU
20110923,80.0,62.5,0,55.416666666666664,8.220833333333335,14.5,KHOU
20110924,80.0,66.0,0,65.66666666666667,5.487500000000001,28.833333333333332,KHOU
20110925,87.0,70.5,0,71.6086956521739,10.821739130434782,22.130434782608695,KHOU
20110926,86.5,71.5,0,69.08333333333333,8.216666666666665,24.958333333333332,KHOU
20110927,87.0,68.0,0,65.95833333333333,7.7375,36.041666666666664,KHOU
20110928,84.5,69.5,0,67.45833333333333,5.874999999999999,25.0,KHOU
20110929,82.5,69.5,0.05,72.625,6.25,49.708333333333336,KHOU
20110930,78.5,57.0,0,53.791666666666664,6.304166666666668,31.583333333333332,KHOU
20111001,71.0,42.5,0,38.375,7.25,2.0,KHOU
20111002,70.5,45.0,0,49.25,5.195833333333334,3.625,KHOU
20111003,70.0,45.5,0,50.458333333333336,4.716666666666666,2.0,KHOU
20111004,69.5,55.5,0,60.125,4.283333333333333,5.791666666666667,KHOU
20111005,71.5,60.5,0,68.41666666666667,6.2,11.791666666666666,KHOU
20111006,77.5,69.0,0,74.66666666666667,10.558333333333335,28.625,KHOU
20111007,80.5,71.0,0,74.20833333333333,10.483333333333333,52.25,KHOU
20111008,80.5,70.0,0.08,75.91666666666667,11.629166666666668,65.875,KHOU
20111009,71.0,69.0,3.419999999999999,88.95652173913044,9.482608695652173,79.1304347826087,KHOU
20111010,77.0,67.0,0,76.73913043478261,4.969565217391303,45.73913043478261,KHOU
20111011,77.0,64.0,0,70.95833333333333,3.079166666666666,36.458333333333336,KHOU
20111012,76.0,67.5,0,77.91666666666667,4.133333333333334,29.916666666666668,KHOU
20111013,75.5,54.5,0.02,51.458333333333336,8.700000000000001,12.25,KHOU
20111014,71.0,52.0,0,46.541666666666664,4.766666666666667,2.0,KHOU
20111015,72.5,59.0,0,67.16666666666667,3.520833333333334,10.541666666666666,KHOU
20111016,72.5,65.5,0,75.29166666666667,4.945833333333334,13.416666666666666,KHOU
20111017,75.5,68.0,0.01,76.91666666666667,5.575,19.333333333333332,KHOU
20111018,65.0,53.5,0,52.833333333333336,15.699999999999998,17.291666666666668,KHOU
20111019,62.0,32.5,0,32.125,11.812500000000002,2.0,KHOU
20111020,60.5,41.0,0,46.666666666666664,4.041666666666666,2.0,KHOU
20111021,69.5,57.0,0,64.70833333333333,7.404166666666668,12.375,KHOU
20111022,71.5,60.0,0,67.66666666666667,7.208333333333333,11.625,KHOU
20111023,74.0,63.5,0.03,69.08333333333333,5.591666666666665,42.541666666666664,KHOU
20111024,76.5,64.5,0,73.625,4.091666666666667,32.833333333333336,KHOU
20111025,76.5,67.0,0,77.83333333333333,6.350000000000001,24.25,KHOU
20111026,75.0,67.0,0,75.5,8.02916666666667,16.625,KHOU
20111027,72.0,63.0,0.13,73.73913043478261,8.178260869565218,52.78260869565217,KHOU
20111028,56.0,50.0,0.05,71.33333333333333,14.637500000000001,73.29166666666667,KHOU
20111029,56.0,36.5,0,56.541666666666664,3.470833333333333,2.0,KHOU
20111030,58.5,45.5,0,63.608695652173914,3.169565217391304,23.0,KHOU
20111031,62.5,49.0,0,64.70833333333333,2.995833333333333,2.0,KHOU
20111101,64.0,55.0,0,69.375,6.345833333333334,22.083333333333332,KHOU
20111102,72.0,65.5,0,78.29166666666667,7.829166666666668,32.208333333333336,KHOU
20111103,57.0,47.0,0.04,42.083333333333336,15.883333333333333,31.041666666666668,KHOU
20111104,55.0,31.5,0,42.583333333333336,4.2875,2.5416666666666665,KHOU
20111105,56.0,49.5,0,74.79166666666667,7.066666666666666,43.375,KHOU
20111106,73.0,63.5,0,77.29166666666667,8.2625,85.66666666666667,KHOU
20111107,75.0,67.0,0,82.95833333333333,8.9,70.5,KHOU
20111108,74.0,59.5,0.53,77.41666666666667,10.566666666666668,69.29166666666667,KHOU
20111109,60.5,44.0,0.01,53.625,14.687500000000002,39.083333333333336,KHOU
20111110,55.0,29.0,0,29.608695652173914,10.083333333333334,22.166666666666668,KHOU
20111111,53.0,37.5,0,56.875,5.291666666666667,16.0,KHOU
20111112,63.0,54.5,0,70.95652173913044,8.673913043478262,54.26086956521739,KHOU
20111113,75.0,67.0,0.11,82.45833333333333,8.779166666666667,52.083333333333336,KHOU
20111114,75.0,68.0,0.01,81.25,8.5875,44.916666666666664,KHOU
20111115,72.5,67.0,0.51,86.41666666666667,7.979166666666667,40.0,KHOU
20111116,70.5,58.5,0.01,69.16666666666667,8.695833333333333,10.041666666666666,KHOU
20111117,56.5,41.5,0,45.13636363636363,12.522727272727275,10.454545454545455,KHOU
20111118,55.0,47.0,0,68.33333333333333,8.320833333333335,21.291666666666668,KHOU
20111119,71.5,66.0,0,81.20833333333333,10.037500000000001,83.0,KHOU
20111120,78.5,70.5,0.02,84.04347826086956,9.517391304347823,80.65217391304348,KHOU
20111121,78.0,70.5,0,83.33333333333333,11.337499999999999,84.625,KHOU
20111122,66.0,61.0,0.15,82.75,11.141666666666671,80.625,KHOU
20111123,62.0,50.0,0,68.41666666666667,7.312500000000003,12.916666666666666,KHOU
20111124,55.0,51.0,0,84.375,4.4375,41.083333333333336,KHOU
20111125,62.0,57.0,0.01,81.08333333333333,5.429166666666667,63.791666666666664,KHOU
20111126,61.5,54.0,1.1,80.66666666666667,11.2875,86.70833333333333,KHOU
20111127,46.0,29.0,0,41.708333333333336,14.68333333333333,22.208333333333332,KHOU
20111128,46.0,22.0,0,50.0,6.533333333333332,2.0,KHOU
20111129,51.5,24.0,0,47.333333333333336,6.345833333333332,6.333333333333333,KHOU
20111130,52.5,35.5,0,54.375,3.9499999999999993,2.5416666666666665,KHOU
20111201,56.0,49.0,0,79.04166666666667,7.024999999999999,26.333333333333332,KHOU
20111202,62.0,55.5,0,78.30434782608695,9.573913043478262,59.43478260869565,KHOU
20111203,69.0,62.5,0,78.69565217391305,9.978260869565215,71.17391304347827,KHOU
20111204,63.5,62.5,0.7800000000000001,89.41666666666667,7.483333333333332,90.875,KHOU
20111205,49.5,48.5,0.36,83.75,12.675000000000004,94.0,KHOU
20111206,39.0,33.0,0,72.70833333333333,13.204166666666667,84.16666666666667,KHOU
20111207,39.5,23.5,0,57.958333333333336,7.641666666666667,14.875,KHOU
20111208,43.0,36.0,0,73.16666666666667,5.579166666666666,43.833333333333336,KHOU
20111209,53.5,45.5,0,71.54166666666667,7.454166666666666,87.75,KHOU
20111210,52.5,35.0,0,48.625,10.704166666666666,86.70833333333333,KHOU
20111211,48.5,33.5,0,50.833333333333336,7.929166666666667,67.25,KHOU
20111212,54.0,44.0,0,66.45833333333333,8.316666666666668,75.70833333333333,KHOU
20111213,60.5,58.0,0,93.5,10.0375,90.08333333333333,KHOU
20111214,70.0,64.5,0,87.41666666666667,9.420833333333333,85.375,KHOU
20111215,71.5,66.0,0.15,86.95833333333333,6.495833333333334,65.29166666666667,KHOU
20111216,60.0,58.0,0.02,84.83333333333333,13.391666666666667,94.0,KHOU
20111217,57.0,40.0,0,57.25,10.091666666666665,62.958333333333336,KHOU
20111218,54.5,41.0,0,60.25,7.204166666666668,69.75,KHOU
20111219,61.5,59.0,0.18999999999999997,82.125,10.133333333333333,82.70833333333333,KHOU
20111220,60.0,50.5,0.52,67.04166666666667,8.645833333333334,75.875,KHOU
20111221,51.5,42.5,0.06,60.083333333333336,5.095833333333333,60.458333333333336,KHOU
20111222,53.0,50.0,1.17,88.16666666666667,7.0249999999999995,92.95833333333333,KHOU
20111223,52.0,48.0,0,78.95833333333333,11.433333333333332,91.91666666666667,KHOU
20111224,47.0,43.0,0.65,83.70833333333333,13.633333333333335,92.95833333333333,KHOU
20111225,45.0,44.5,0,91.5,9.987500000000002,94.0,KHOU
20111226,45.5,42.5,0,86.04166666666667,6.633333333333332,64.58333333333333,KHOU
20111227,49.5,36.0,0,65.41666666666667,5.574999999999999,2.0,KHOU
20111228,50.0,42.5,0,78.0,3.85,34.041666666666664,KHOU
20111229,53.0,44.5,0,73.66666666666667,3.424999999999999,8.708333333333334,KHOU
20111230,56.5,51.0,0,86.29166666666667,3.716666666666667,25.208333333333332,KHOU
20111231,65.0,62.5,0.01,90.16666666666667,5.766666666666666,49.625,KHOU
20120101,60.5,48.5,0,47.291666666666664,15.170833333333334,26.083333333333332,KHOU
20120102,52.5,22.0,0,32.375,11.570833333333333,2.0,KHOU
20120103,44.5,28.5,0,48.666666666666664,5.9624999999999995,2.0,KHOU
20120104,56.5,48.5,0,76.25,3.608333333333334,34.708333333333336,KHOU
20120105,63.5,57.0,0,77.625,3.566666666666666,51.583333333333336,KHOU
20120106,65.0,57.0,0.01,80.875,7.783333333333335,43.708333333333336,KHOU
20120107,65.0,59.0,0,80.375,5.916666666666667,46.666666666666664,KHOU
20120108,71.0,64.5,0.01,86.66666666666667,6.454166666666667,63.75,KHOU
20120109,65.5,62.0,2.2399999999999998,91.75,9.895833333333334,94.0,KHOU
20120110,53.5,45.5,0,77.70833333333333,12.1875,71.75,KHOU
20120111,56.5,43.5,0,60.791666666666664,8.162500000000001,9.791666666666666,KHOU
20120112,47.5,26.0,0,39.333333333333336,16.412499999999998,51.541666666666664,KHOU
20120113,42.5,19.5,0,43.166666666666664,3.1291666666666664,25.416666666666668,KHOU
20120114,47.5,28.0,0,53.416666666666664,4.383333333333333,13.958333333333334,KHOU
20120115,52.0,46.0,0,73.33333333333333,6.391666666666666,58.958333333333336,KHOU
20120116,71.5,63.0,0.02,82.79166666666667,10.800000000000002,75.58333333333333,KHOU
20120117,63.5,51.5,0.05,76.56521739130434,10.617391304347828,73.26086956521739,KHOU
20120118,51.5,37.5,0,57.166666666666664,8.466666666666669,11.041666666666666,KHOU
20120119,61.5,56.5,0,83.58333333333333,7.9375,67.08333333333333,KHOU
20120120,73.5,65.0,0,82.5,12.470833333333331,76.29166666666667,KHOU
20120121,66.5,60.5,0,77.41666666666667,6.629166666666666,90.875,KHOU
20120122,69.5,61.0,0,84.95833333333333,10.083333333333334,77.45833333333333,KHOU
20120123,61.5,53.5,0,59.291666666666664,7.650000000000003,82.25,KHOU
20120124,60.0,57.0,0.01,81.0,9.845833333333333,83.125,KHOU
20120125,63.5,59.0,0.09000000000000001,86.375,12.237499999999999,88.5,KHOU
20120126,57.0,44.5,0,65.75,9.704166666666667,34.625,KHOU
20120127,52.5,42.5,0,66.08333333333333,5.1499999999999995,2.0,KHOU
20120128,55.0,39.5,0,51.125,11.2875,20.041666666666668,KHOU
20120129,52.0,32.0,0,49.47826086956522,6.130434782608697,22.130434782608695,KHOU
20120130,55.0,50.0,0,80.125,5.304166666666667,60.291666666666664,KHOU
